hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,3,2017,May,18,4,0,1,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,0,Transient,227.0,0,0,Canceled,2017-05-03
City Hotel,0,63,2017,February,9,27,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,9.0,0,Transient,99.45,0,2,Check-Out,2017-03-03
City Hotel,1,75,2016,March,11,12,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,14.0,0,Transient,71.1,0,1,Canceled,2016-03-08
City Hotel,0,0,2017,April,17,27,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,145.8,0,1,Check-Out,2017-04-28
City Hotel,1,208,2016,August,36,30,0,3,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,85.5,0,0,Canceled,2016-02-04
City Hotel,0,31,2016,March,12,14,1,1,2,0.0,0,BB,TUR,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,0,Transient-Party,81.9,0,1,Check-Out,2016-03-16
Resort Hotel,0,296,2016,October,41,6,0,3,1,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,1,No Deposit,315.0,0,Transient-Party,42.0,1,0,Check-Out,2016-10-09
Resort Hotel,0,119,2016,March,11,7,2,5,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,0,Transient,26.0,0,0,Check-Out,2016-03-14
Resort Hotel,0,47,2015,August,35,29,2,1,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,103.18,0,1,Check-Out,2015-09-01
Resort Hotel,0,62,2017,January,1,7,3,6,1,0.0,0,BB,EST,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0,Transient,37.0,0,1,Check-Out,2017-01-16
City Hotel,0,60,2016,July,31,25,1,0,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9.0,0,Transient,137.7,0,2,Check-Out,2016-07-26
